Göstərici,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
Bir sərnişinin orta daşınma məsafəsi (kilometr),43.7,37.8,36.8,81.0,141.3,164.0,187.6,226.5,262.9,243.1,242.8,222.0,191.2,190.9,160.3,164.1,167.9,165.5,159.9,150.5,138.1,131.5,116.0,116.0,104.2,124.3,129.1,121.8
Bir sərnişinin orta daşınma məsafəsi (kilometr),468.4,476.6,474.6,455.9,427.9,433.1,456.1,459.2,400.0,353.7,350.4,374.3,393.1,375.0,355.8,357.7,361.1,365.7,414.2,359.0,447.8,428.6,454.5,500.0,428.6,400.0,348.8,307.7
Bir sərnişinin orta daşınma məsafəsi (kilometr),1813.2,2128.2,2060.0,1702.4,1756.7,2167.2,2374.3,1792.4,1836.1,1632.0,1549.9,1548.5,1510.8,1586.0,1581.3,1434.1,1310.0,1265.6,1311.3,1325.4,1283.7,1207.7,1180.0,1138.4,1198.0,1409.0,1285.0,1434.0
Bir ton yükün orta daşınma məsafəsi (kilometr),368.9,378.9,353.0,332.2,338.5,321.9,318.2,335.4,363.4,338.2,344.1,355.0,353.3,369.1,365.0,365.3,366.9,366.0,363.0,364.6,379.4,399.7,399.0,363.4,356.7,347.5,311.9,290.2
Bir ton yükün orta daşınma məsafəsi (kilometr),449.7,457.2,565.7,551.5,561.4,555.6,529.4,516.9,443.3,415.1,402.5,409.1,414.9,414.8,468.0,510.6,588.7,595.5,595.5,512.6,493.9,534.0,560.6,591.4,642.6,543.8,667.4,680.4
Bir ton yükün orta daşınma məsafəsi (kilometr),8451.0,6973.0,5030.5,5026.2,5174.9,4418.3,4265.9,4268.8,4511.6,3848.0,3515.9,4353.7,4392.2,3475.0,3437.5,3000.0,3923.1,3880.0,4189.2,4200.0,3923.1,2709.7,2451.6,2756.8,2333.3,2390.6,1772.7,1931.0
Daşınmalara çəkilən xərclər (min manat),205632.3,223728.9,176944.8,168796.2,169633.2,174676.7,162393.9,173959.9,154816.2,119029.1,107496.0,105050.0,100460.5,92115.5,103118.5,109770.3,92711.9,96295.0,80028.0,80629.0,61998.4,53566.0,53466.0,52247.0,48693.0,54166.2,52526.6,46401.6
Daşınmalara çəkilən xərclər (min manat),501159.0,397941.0,364071.0,399041.0,340696.0,323427.0,460350.0,327401.0,201976.0,223751.0,146455.0,187582.0,164340.0,167414.0,162779.0,185427.0,156625.0,116160.0,114984.0,87082.0,73916.0,66745.0,59857.0,65723.0,63575.0,69421.0,63672.0,27525.0
Daşınmalara çəkilən xərclər (min manat),3283237.0,4704789.0,3422078.0,2902861.0,2272215.0,2187832.0,1626498.0,975035.0,810422.0,770221.0,678670.0,538080.0,511886.0,437695.0,393650.0,351164.0,308667.0,248414.0,210474.0,176158.0,124394.0,90326.0,75418.0,70729.0,71818.0,25980.0,18718.0,17343.0
Daşınmalardan əldə olunan gəlir (min manat),3625842.0,4904810.0,3875401.0,3035229.0,2396355.0,2066918.0,1647341.0,1053949.0,828058.0,837820.0,779843.0,617870.0,557911.0,388870.0,331503.0,372003.0,326382.0,223026.0,179527.0,161073.0,132770.0,74113.0,65744.0,63655.0,64292.0,81918.0,56054.0,66553.0
Daşınmalardan əldə olunan gəlir (min manat),252921.2,248812.9,178597.2,168987.0,180484.4,170566.6,179724.5,160095.9,93989.7,102339.6,97901.0,114580.0,109710.2,107221.9,122475.0,116056.3,100282.8,110778.0,96393.4,100446.6,89773.8,83828.0,71536.0,59051.0,51560.0,54519.0,51638.8,45692.4
